source_id,gincdif,freehms,stflife,happy,trstprl
72212,3,3,2,3,6
72258,2,4,9,9,8
72259,2,2,4,10,4
72279,3,2,7,7,6
72303,4,4,10,10,7
72327,2,1,7,5,6
72421,3,3,4,6,4
72442,2,2,7,8,5
72485,2,2,8,8,2
72506,1,4,9,8,1
72507,2,5,9,6,6
72536,2,2,5,2,2
72577,3,5,8,7,3
72641,2,2,4,5,8
72651,2,2,7,7,8
72657,1,3,7,8,1
72672,1,4,8,7,3
72683,1,5,10,5,0
72722,4,1,8,6,9
72728,1,2,5,6,6
72788,1,1,8,8,7
72831,3,4,8,8,2
72857,2,4,5,4,0
72867,1,5,5,8,0
72903,1,5,10,10,5
72908,2,2,9,9,3
72944,2,4,6,5,4
72946,2,3,10,9,0
72952,2,4,8,7,7
72968,1,4,8,8,6
72971,4,2,9,9,8
73063,4,2,8,8,7
73066,4,2,8,7,4
73099,1,3,4,5,0
73134,2,3,8,9,4
73177,2,2,2,2,2
73215,1,4,8,8,5
73220,1,1,9,8,5
73241,2,4,6,7,2
73266,3,5,7,5,1
73296,2,2,7,7,5
73317,1,5,8,7,0
73323,2,2,9,8,4
73338,2,2,8,8,0
73343,3,1,10,9,5
73385,2,2,10,10,8
73395,2,2,5,6,1
73443,2,3,7,3,3
73469,,4,9,10,4
73488,2,4,7,8,7
73561,2,3,4,4,3
73604,2,3,10,10,0
73697,4,3,6,8,1
73736,3,2,5,3,5
73753,1,4,8,8,2
73756,2,1,8,9,7
73772,1,2,7,8,3
73795,1,2,8,9,4
73844,3,5,7,6,1
73860,4,4,5,10,0
73866,2,2,9,8,7
73868,2,2,,8,1
73906,2,2,7,7,4
73918,3,2,7,8,6
73933,1,1,8,9,4
73970,2,2,9,9,8
73973,2,2,8,8,5
74050,2,2,3,4,3
74053,1,4,8,8,3
74122,2,4,2,4,3
74151,2,2,8,8,1
74184,2,3,7,8,5
74188,3,3,2,6,3
74247,2,2,4,5,4
74292,2,2,8,7,6
74324,2,4,7,7,5
74332,4,2,8,7,6
74393,2,4,7,8,0
74406,1,2,7,8,2
74408,2,2,6,6,4
74414,2,5,10,8,4
74439,3,2,7,7,2
74453,3,2,5,8,9
74476,2,2,8,8,4
74484,1,5,5,5,2
74519,2,5,7,8,1
74558,3,3,6,5,3
74576,2,2,8,5,5
74621,2,4,7,7,3
74631,1,3,9,10,4
74635,1,3,8,8,5
74671,2,3,4,7,6
74681,4,4,5,5,0
74702,1,3,5,3,0
74724,2,2,8,8,3
74728,1,2,9,9,5
74770,2,2,8,8,5
74843,3,3,8,8,7
74865,5,1,7,8,4
74871,2,3,10,8,0
74874,2,4,10,10,5
74881,1,5,3,4,2
74935,2,2,9,9,5
74948,5,3,8,9,2
74982,2,4,10,10,5
74984,4,3,9,9,6
75001,2,4,7,7,4
75019,4,2,10,10,2
75028,1,5,10,10,1
75033,3,5,10,10,0
75053,3,2,7,9,2
75071,3,3,8,8,0
75098,2,,8,9,0
75118,2,4,10,10,0
75160,2,2,7,7,1
75165,3,3,,10,
75193,4,3,5,6,5
75211,1,3,9,9,3
75215,3,2,7,7,4
75238,2,4,7,6,4
75256,2,3,10,10,0
75293,2,2,8,8,4
75294,1,3,10,10,5
75395,1,4,0,5,0
75396,4,3,8,8,6
75431,2,5,,7,7
75558,2,2,6,7,5
75560,5,1,6,5,6
75603,4,2,9,8,6
75608,3,4,7,7,6
75613,2,4,8,8,1
75635,1,4,10,8,10
75670,1,4,4,5,2
75712,1,5,6,6,6
75776,2,2,5,6,0
75777,2,2,8,8,2
75800,4,2,10,10,6
75854,1,5,8,0,0
75884,2,2,9,8,2
75921,2,4,5,6,4
75925,1,5,2,2,1
75973,2,4,8,8,3
75996,3,3,7,8,2
75997,4,2,8,8,6
76035,3,2,5,9,3
76109,2,5,7,10,0
76113,2,2,9,8,6
76140,2,5,8,8,1
76166,1,2,10,8,0
76222,2,5,5,8,7
76224,2,2,4,7,4
76227,2,2,9,9,7
76243,3,4,5,4,0
76255,2,3,2,4,4
76287,2,4,3,5,3
76341,1,5,6,6,4
76347,3,1,8,9,9
76362,2,5,10,10,2
76388,3,4,10,10,5
76436,3,3,5,7,4
76489,1,3,0,7,0
76513,2,5,10,7,7
76613,3,3,6,8,4
76615,1,5,2,8,0
76618,2,3,7,7,4
76633,3,2,7,8,6
76635,2,3,5,6,1
76641,1,3,8,9,1
76657,2,3,3,9,5
76805,4,2,8,8,6
76824,1,2,9,9,5
76893,2,3,9,8,9
76928,2,1,9,9,3
76945,2,4,7,7,4
76950,2,3,8,8,6
76958,3,4,9,8,4
76965,1,1,8,8,0
77020,4,2,9,9,7
77028,1,3,3,4,7
77029,3,3,4,3,3
77050,3,5,10,10,4
77078,1,3,6,3,7
77126,1,2,7,9,5
77207,2,2,8,4,5
77251,3,5,8,7,3
77383,,4,10,10,1
77524,2,2,7,7,
77537,1,2,8,6,7
77552,1,5,3,2,3
77565,1,4,10,10,7
77598,1,5,8,7,0
77609,2,5,8,9,8
77615,1,3,2,5,5
77619,1,4,7,7,3
77621,2,2,8,8,2
77635,3,4,9,7,2
77647,3,2,7,5,5
77662,2,3,6,8,5
77674,1,3,6,6,0
77680,2,2,7,8,4
77682,5,4,10,10,10
77721,2,5,4,7,0
77731,2,,10,10,7
77807,1,5,10,9,3
77808,1,5,10,10,0
77813,3,2,5,5,5
77839,2,2,10,10,2
77863,5,3,4,4,0
77911,1,5,9,9,4
77943,4,2,7,8,2
77970,2,4,8,5,6
78004,1,2,7,9,6
78022,2,4,9,7,3
78037,3,4,9,10,0
78081,3,3,8,8,4
78083,2,4,5,5,2
78128,1,4,5,6,4
78133,3,3,9,8,5
78189,2,3,7,8,7
78213,1,4,6,8,6
78232,2,3,9,9,7
78328,2,5,7,9,4
78366,3,2,9,8,2
78377,2,3,10,10,4
78408,2,2,5,5,3
78409,1,5,10,8,6
78422,3,3,10,10,4
78429,2,5,7,7,7
78437,2,2,10,5,5
78556,2,3,5,8,7
78567,2,4,7,3,4
78623,1,4,7,6,3
78626,2,4,8,7,4
78639,2,3,6,6,5
78737,1,5,9,10,0
78738,1,1,5,4,
78750,2,2,9,9,0
78789,2,3,8,9,4
78802,3,3,8,8,8
78861,4,5,9,8,7
78869,2,2,8,8,2
78901,3,3,4,9,0
78906,3,3,4,4,4
78933,1,2,8,8,4
78957,4,2,8,8,5
78995,3,4,5,8,1
79001,1,2,9,9,7
79020,2,2,7,8,5
79030,1,4,9,10,4
79211,2,2,7,7,4
79288,2,4,6,8,5
79298,1,3,10,5,0
79322,1,4,5,7,4
79376,1,1,5,7,0
